RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
About to Sleep,very_high,very_high,Declining,Early Recovery,Fragile VIP Stabilization,Top-tier decline with early recovery indicators,Recovery Opportunity,Nurture,Stabilize VIP,,,,
About to Sleep,very_high,very_high,Declining,Strong Growth,Voice-Led VIP Rescue,Strong voice momentum balancing decline,Cross-Sell Recovery,Cross-Sell,Voice-led rescue,,,,
About to Sleep,very_high,very_high,Declining,Gradual Growth,Steady VIP Compensation,Gradual voice improvement supporting declining VIP,Retention Builder,Nurture,Balance premium,,,,
About to Sleep,very_high,very_high,Declining,Rapid Expansion,VIP Breakout Recovery,Rapid voice expansion transforming decline,Transformation Opportunity,Aggressive Upsell,VIP ecosystem,,,,
About to Sleep,very_high,very_high,Declining,no_trend,VIP Drift Zone,Ultimate customer weakening steadily,Retention Priority,Retention,Prevent VIP churn,,,,
About to Sleep,very_high,very_high,Dormant,Declining,VIP Shutdown Risk,Highest-value customer nearing disengagement,Maximum Churn Risk,Urgent Win-Back,VIP relaunch,,,,
About to Sleep,very_high,very_high,Dormant,,Fully Dormant VIP,Top customer fully asleep,Top Priority Recovery,Maximum Win-Back,Exclusive VIP comeback,,,,
About to Sleep,very_high,very_high,Dormant,Early Recovery,VIP Awakening,Dormant VIP showing first comeback signals,Early Recovery,Nurture,VIP restart,,,,
About to Sleep,very_high,very_high,Dormant,Strong Growth,Voice-Powered VIP Comeback,Strong voice growth reviving dormant VIP,Recovery Growth,Cross-Sell,Voice-led VIP,,,,
About to Sleep,very_high,very_high,Dormant,Gradual Growth,Steady VIP Rebuild,Gradual premium reactivation,Recovery Builder,Nurture,Rebuild trust,,,,
About to Sleep,very_high,very_high,Dormant,Rapid Expansion,VIP Rebirth Surge,Rapid multi-service comeback,Top Recovery Segment,Aggressive Win-Back,VIP power relaunch,,,,
About to Sleep,very_high,very_high,Dormant,no_trend,Stable Dormant VIP,Inactive but valuable,Activation Priority,Activation,VIP reminder,,,,
About to Sleep,very_high,very_high,Early Recovery,Declining,Recovery Under VIP Pressure,Recovery threatened by decline,Mixed VIP Risk,Retention,Protect comeback,,,,
About to Sleep,very_high,very_high,Early Recovery,Dormant,Unstable VIP Recovery,Recovery with dormant weakness,Fragile VIP Segment,Nurture,Recovery stabilizer,,,,
About to Sleep,very_high,very_high,Early Recovery,Early Recovery,Balanced VIP Recovery,Top-tier customer recovering across all services,Healthy VIP Recovery,Nurture,Rebuild VIP,,,,
About to Sleep,very_high,very_high,Early Recovery,Strong Growth,Voice-Accelerated VIP Rebuild,Strong voice growth boosting recovery,Growth Opportunity,Cross-Sell,Voice + data maximize,,,,
About to Sleep,very_high,very_high,Early Recovery,Gradual Growth,Steady VIP Recovery,Gradual balanced rebound,Loyalty Builder,Nurture,Progressive VIP,,,,
About to Sleep,very_high,very_high,Early Recovery,Rapid Expansion,VIP Expansion Recovery,Rapid transformation from fragile state,Expansion Opportunity,Aggressive Upsell,VIP accelerator,,,,
About to Sleep,very_high,very_high,Early Recovery,no_trend,VIP Stability Recovery,Recovered and stable,Retention Opportunity,Nurture,Hold VIP,,,,
About to Sleep,very_high,very_high,Strong Growth,Declining,Data-Led VIP Imbalance,Strong data but weakening voice in VIP,Elite Balance Risk,Retention,Protect service balance,,,,
About to Sleep,very_high,very_high,Strong Growth,Dormant,VIP Growth Interruption,Strong customer with voice dormancy,Service Gap,Activation,Restart voice,,,,
About to Sleep,very_high,very_high,Strong Growth,Early Recovery,VIP Momentum Builder,Strong growth + recovery,Future Titan,Growth Opportunity,Expand ecosystem,,,,
About to Sleep,very_high,very_high,Strong Growth,Strong Growth,Ultimate VIP Titan,Maximum data + voice growth,Top Absolute Segment,Maximum Growth,Total maximize,,,,
About to Sleep,very_high,very_high,Strong Growth,Gradual Growth,Sustainable VIP Dominance,Strong base with measured expansion,Loyalty VIP,Loyalty Growth,Sustain dominance,,,,
About to Sleep,very_high,very_high,Strong Growth,Rapid Expansion,Hyper VIP Expansion,Extreme acceleration across all services,Ultra Elite,Aggressive Upsell,Hyper ecosystem,,,,
About to Sleep,very_high,very_high,Strong Growth,no_trend,VIP Growth Core,Strong growth stabilized,VIP Loyalty Core,Loyalty Growth,Protect and deepen,,,,
About to Sleep,very_high,very_high,Gradual Growth,Declining,Builder Pressure VIP,Gradual growth facing decline,Builder Retention Risk,Retention,Prevent drop,,,,
About to Sleep,very_high,very_high,Gradual Growth,Dormant,Paused VIP Builder,Progress slowing,Activation Opportunity,Activation,Restart VIP,,,,
About to Sleep,very_high,very_high,Gradual Growth,Early Recovery,Healthy VIP Builder,Gradual + recovery combo,Builder Opportunity,Nurture,VIP builder support,,,,
About to Sleep,very_high,very_high,Gradual Growth,Strong Growth,Voice Accelerator VIP,Gradual growth with strong voice,Cross-Sell Builder,Cross-Sell,Voice maximize,,,,
About to Sleep,very_high,very_high,Gradual Growth,Gradual Growth,Consistent VIP Builder,Steady premium growth,Loyalty Builder,Loyalty Growth,Consistency plan,,,,
About to Sleep,very_high,very_high,Gradual Growth,Rapid Expansion,VIP Builder Breakout,Gradual user rapidly scaling,Transformation Segment,Aggressive Upsell,Builder breakout,,,,
About to Sleep,very_high,very_high,Gradual Growth,no_trend,Stable VIP Builder,Steady stable progress,Nurture Segment,Nurture,Maintain pace,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Declining,Expansion Volatility VIP,Rapid growth with warning signals,Growth Volatility,Retention,Stabilize surge,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Dormant,Boom-to-Silence VIP,Rapid growth interrupted by dormancy,Drop-Off Risk,Activation,Reignite VIP,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Early Recovery,VIP Expansion Rebound,Rapid growth + recovery,High Opportunity,Upsell,Boost rebound,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Strong Growth,Absolute Digital Titan,Maximum acceleration across all metrics,Top Ultimate Segment,Maximum Growth,Total ecosystem domination,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Gradual Growth,Sustainable VIP Surge,Fast but stable expansion,Loyalty Surge,Loyalty Growth,Sustain elite,,,,
About to Sleep,very_high,very_high,Rapid Expansion,Rapid Expansion,Complete Market Dominator,Absolute highest expansion possible,Legendary Segment,Maximum Growth,Full market domination,,,,
About to Sleep,very_high,very_high,Rapid Expansion,no_trend,Stable VIP Expansion,Rapid growth stabilized,Strong Loyalty Segment,Loyalty Growth,Hold peak,,,,
About to Sleep,very_high,very_high,no_trend,Declining,Stable VIP Decline,Stable but slipping VIP,Retention Threat,Retention,Prevent elite loss,,,,
About to Sleep,very_high,very_high,no_trend,Dormant,Silent VIP Giant,Stable but inactive VIP,Activation Need,Activation,VIP engagement,,,,
About to Sleep,very_high,very_high,no_trend,Early Recovery,VIP Recovery Spark,Stable VIP showing rebound,Nurture Opportunity,Nurture,Spark maximize,,,,
About to Sleep,very_high,very_high,no_trend,Strong Growth,VIP Voice Expansion,Stable VIP accelerating voice,Growth Segment,Cross-Sell,Voice maximize,,,,
About to Sleep,very_high,very_high,no_trend,Gradual Growth,VIP Builder Stability,Stable moderate growth,Loyalty Builder,Nurture,Progressive deepen,,,,
About to Sleep,very_high,very_high,no_trend,Rapid Expansion,VIP Breakout Core,Stable base rapidly transforming,Emerging Titan,Aggressive Upsell,Breakout maximize,,,,
About to Sleep,very_high,very_high,no_trend,no_trend,Consistent VIP Supreme,Highest-value customer stable across all metrics,Ultimate Loyalty Core,Maximum Loyalty,Deepen total ecosystem,,,,
About to Sleep,very_high,Zero,Declining,Declining,Data Titan Collapse,Very high data user with zero voice collapsing across engagement,Data Churn Emergency,Critical Retention,Data rescue now,,,,
About to Sleep,very_high,Zero,Declining,Dormant,Data Titan Falling Silent,Heavy data customer declining while voice absent,Silent Churn Risk,Reactivation,Data + voice starter,,,,
About to Sleep,very_high,Zero,Declining,Early Recovery,Data Revival Spark,High data decline showing first comeback signs,Recovery Opportunity,Nurture,Data recovery boost,,,,
About to Sleep,very_high,Zero,Declining,Strong Growth,Voice Adoption Recovery,Strong voice growth emerging from data-heavy decline,Cross-Sell Opportunity,Cross-Sell,Voice onboarding max,,,,
About to Sleep,very_high,Zero,Declining,Gradual Growth,Slow Cross-Service Awakening,Data-heavy customer slowly adding voice,New Service Opportunity,Nurture,Voice intro,,,,
About to Sleep,very_high,Zero,Declining,Rapid Expansion,Voice Explosion Recovery,Rapid voice expansion from zero voice base,High Upsell Opportunity,Aggressive Upsell,Full service bundle,,,,
About to Sleep,very_high,Zero,Declining,no_trend,Stable Data Slippage,Heavy data user declining without voice progress,Retention Threat,Retention,Data shield,,,,
About to Sleep,very_high,Zero,Dormant,Declining,Dormant Data Collapse,Inactive data titan worsening,Critical Churn Threat,Reactivation,Data wake-up,,,,
About to Sleep,very_high,Zero,Dormant,Dormant,Fully Dormant Data Titan,High-value data-only customer completely inactive,Maximum Churn Risk,Win-Back,Data relaunch,,,,
About to Sleep,very_high,Zero,Dormant,Early Recovery,Data Awakening,Inactive data user showing early rebound,Early Reactivation,Nurture,Light comeback offer,,,,
About to Sleep,very_high,Zero,Dormant,Strong Growth,Voice-Led Reawakening,Dormant data user now rapidly adopting voice,Cross-Sell Growth,Cross-Sell,Voice-first recovery,,,,
About to Sleep,very_high,Zero,Dormant,Gradual Growth,Steady Service Re-Entry,Slow voice/service return from dormancy,Nurture Opportunity,Nurture,Service reactivation,,,,
About to Sleep,very_high,Zero,Dormant,Rapid Expansion,Full Reawakening Surge,Rapid comeback from dormant state,Top Recovery Segment,Aggressive Win-Back,Bundle relaunch,,,,
About to Sleep,very_high,Zero,Dormant,no_trend,Stable Dormant Data User,Inactive but high-potential data profile,Activation Priority,Activation,Data reminder,,,,
About to Sleep,very_high,Zero,Early Recovery,Declining,Fragile Data Recovery,Data recovering but decline risk persists,Sensitive Segment,Retention,Protect recovery,,,,
About to Sleep,very_high,Zero,Early Recovery,Dormant,Unstable Recovery,Recovery mixed with dormancy,Mixed Opportunity,Nurture,Recovery stabilizer,,,,
About to Sleep,very_high,Zero,Early Recovery,Early Recovery,Balanced Data Recovery,Data-only customer steadily recovering,Recovery Segment,Nurture,Data comeback,,,,
About to Sleep,very_high,Zero,Early Recovery,Strong Growth,Voice Expansion Catalyst,Data recovery accelerating through voice,Expansion Opportunity,Cross-Sell,Voice + data combo,,,,
About to Sleep,very_high,Zero,Early Recovery,Gradual Growth,Steady Cross-Sell Recovery,Healthy service diversification,Nurture Segment,Nurture,Smart bundle,,,,
About to Sleep,very_high,Zero,Early Recovery,Rapid Expansion,Rapid Recovery Transformer,Fast movement toward full-service customer,Transformation Opportunity,Aggressive Upsell,Power bundle,,,,
About to Sleep,very_high,Zero,Early Recovery,no_trend,Stable Recovery Base,Recovered but stable without voice momentum,Retention Opportunity,Nurture,Data hold,,,,
About to Sleep,very_high,Zero,Strong Growth,Declining,Data Growth Under Pressure,Strong data growth facing warning signs,Growth Risk,Retention,Protect momentum,,,,
About to Sleep,very_high,Zero,Strong Growth,Dormant,Interrupted Data Momentum,Data growth disrupted by inactivity,Restart Opportunity,Activation,Data restart,,,,
About to Sleep,very_high,Zero,Strong Growth,Early Recovery,Data Growth Builder,Strong data + recovery combination,Future Loyalist,Growth Opportunity,Data accelerator,,,,
About to Sleep,very_high,Zero,Strong Growth,Strong Growth,Full Digital Expansion,Strong growth across data + voice from data-heavy base,Top Growth Segment,Maximum Growth,Digital maximize,,,,
About to Sleep,very_high,Zero,Strong Growth,Gradual Growth,Sustained Data Expansion,Strong data with steady service adoption,Loyalty Growth,Loyalty Growth,Expand gradually,,,,
About to Sleep,very_high,Zero,Strong Growth,Rapid Expansion,Digital Power Surge,Extreme growth across services,Ultra Opportunity,Maximum Growth,Hyper bundle,,,,
About to Sleep,very_high,Zero,Strong Growth,no_trend,Stable Data Accelerator,Strong growth stabilizing,Growth Segment,Loyalty Growth,Momentum hold,,,,
About to Sleep,very_high,Zero,Gradual Growth,Declining,Data Builder Risk,Gradual growth under decline pressure,Retention Sensitive,Retention,Builder shield,,,,
About to Sleep,very_high,Zero,Gradual Growth,Dormant,Paused Builder,Gradual progress stalled,Activation Opportunity,Activation,Restart builder,,,,
About to Sleep,very_high,Zero,Gradual Growth,Early Recovery,Healthy Builder,Gradual growth supported by recovery,Nurture Segment,Nurture,Builder nurture,,,,
About to Sleep,very_high,Zero,Gradual Growth,Strong Growth,Voice Builder Surge,Gradual data user rapidly adopting voice,Growth Opportunity,Cross-Sell,Voice builder,,,,
About to Sleep,very_high,Zero,Gradual Growth,Gradual Growth,Consistent Builder,Steady balanced progress,Stable Growth,Loyalty Growth,Consistency pack,,,,
About to Sleep,very_high,Zero,Gradual Growth,Rapid Expansion,Breakout Builder,Gradual user rapidly scaling,Transformation Segment,Aggressive Upsell,Breakout combo,,,,
About to Sleep,very_high,Zero,Gradual Growth,no_trend,Stable Builder,Gradual but stable data-led user,Nurture Segment,Nurture,Steady nurture,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Declining,Surge Instability,Rapid data rise with decline threat,Retention Risk,Retention,Stabilize surge,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Dormant,Boom-to-Silence,Data boom collapsing into inactivity,Drop-Off Risk,Activation,Revive boom,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Early Recovery,Recovery Engine,Rapid data + recovery combo,High Opportunity,Upsell,Engine boost,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Strong Growth,Digital Power User,Exceptional growth from data-only base,Top Segment,Maximum Growth,Power user maximize,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Gradual Growth,Sustainable Surge,Fast but stable expansion,Loyalty Segment,Loyalty Growth,Sustain bundle,,,,
About to Sleep,very_high,Zero,Rapid Expansion,Rapid Expansion,Complete Digital Transformation,Maximum expansion across all services,Ultimate Segment,Maximum Growth,Total transformation,,,,
About to Sleep,very_high,Zero,Rapid Expansion,no_trend,Stable Surge,Rapid growth stabilized,Growth Opportunity,Loyalty Growth,Hold surge,,,,
About to Sleep,very_high,Zero,no_trend,Declining,Stable Data Decline,Stable heavy data user slipping,Retention Risk,Retention,Prevent churn,,,,
About to Sleep,very_high,Zero,no_trend,Dormant,Silent Data Titan,Stable but inactive high-data customer,Activation Threat,Activation,Voice starter,,,,
About to Sleep,very_high,Zero,no_trend,Early Recovery,Stable Recovery Spark,Stable customer with recovery signs,Nurture Opportunity,Nurture,Spark boost,,,,
About to Sleep,very_high,Zero,no_trend,Strong Growth,Stable Growth Expansion,Stable data base accelerating,Growth Segment,Cross-Sell,Growth bundle,,,,
About to Sleep,very_high,Zero,no_trend,Gradual Growth,Stable Builder Path,Slow healthy progress,Nurture Segment,Nurture,Builder ladder,,,,
About to Sleep,very_high,Zero,no_trend,Rapid Expansion,Stable Breakout,Stable base rapidly transforming,Emerging Power Segment,Aggressive Upsell,Breakout max,,,,
About to Sleep,very_high,Zero,no_trend,no_trend,Consistent Data Titan,Stable very-high-data zero-voice customer,Data Core Segment,Cross-Sell,Voice introduction,,,,
About to Sleep,Zero,low,Declining,Declining,Low Voice User in Full Decline,Minimal voice-only customer rapidly disengaging,Critical Churn Risk,Retention,Urgent low-user save,,,,
About to Sleep,Zero,low,Declining,Dormant,Fading Low Voice User,Declining low voice customer becoming inactive,Imminent Dormancy,Activation,Last call reactivation,,,,
About to Sleep,Zero,low,Declining,Early Recovery,Early Voice Recovery,Declining customer showing first voice recovery signs,Recovery Opportunity,Nurture,Voice starter pack,,,,
About to Sleep,Zero,low,Declining,Strong Growth,Voice Revival Candidate,Low voice user showing strong voice comeback,Growth Opportunity,Upsell,Voice comeback boost,,,,
About to Sleep,Zero,low,Declining,Gradual Growth,Slow Voice Rebound,Weak customer slowly regaining voice usage,Nurture Potential,Nurture,Gradual voice restart,,,,
About to Sleep,Zero,low,Declining,Rapid Expansion,Fast Voice Rebound,Low voice customer rapidly re-engaging,Emerging User,Aggressive Win-Back,Rapid comeback voice,,,,
About to Sleep,Zero,low,Declining,no_trend,Stable Low Voice Decline,Low voice customer steadily weakening,Retention Risk,Retention,Usage reminder voice,,,,
About to Sleep,Zero,low,Dormant,Declining,Dormant Voice Collapse,Low voice user slipping further inactive,Severe Churn Risk,Activation,Dormant rescue voice,,,,
About to Sleep,Zero,low,Dormant,Dormant,Fully Dormant Low Voice User,Low voice customer inactive across services,Maximum Dormancy,Win-Back,Wake-up low voice,,,,
About to Sleep,Zero,low,Dormant,Early Recovery,Dormant Voice Return,Inactive user showing early voice activity,Recovery Potential,Nurture,Voice reactivation starter,,,,
About to Sleep,Zero,low,Dormant,Strong Growth,Strong Voice Comeback,Dormant customer strongly reactivating through voice,High Recovery Opportunity,Upsell,Voice rebound max,,,,
About to Sleep,Zero,low,Dormant,Gradual Growth,Slow Dormant Voice Recovery,Gradual comeback from dormancy,Recovery Potential,Nurture,Voice nurture path,,,,
About to Sleep,Zero,low,Dormant,Rapid Expansion,Explosive Voice Reactivation,Dormant voice user rapidly returning,Future Growth User,Aggressive Win-Back,Voice turbo return,,,,
About to Sleep,Zero,low,Dormant,no_trend,Stable Dormant Voice User,Inactive but low voice profile stable,Dormant Risk,Activation,Reactivation ping voice,,,,
About to Sleep,Zero,low,Early Recovery,Declining,Recovery Under Decline,Voice recovery facing decline pressure,Fragile Recovery,Retention,Recovery shield voice,,,,
About to Sleep,Zero,low,Early Recovery,Dormant,Mixed Voice Recovery,Recovery in voice but inactivity persists,Mixed Segment,Nurture,Cross-recovery voice,,,,
About to Sleep,Zero,low,Early Recovery,Early Recovery,Balanced Voice Recovery,Both trends indicating early recovery,Recovering User,Nurture,Voice welcome back,,,,
About to Sleep,Zero,low,Early Recovery,Strong Growth,Accelerated Voice Recovery,Early recovery turning strong,Growth Opportunity,Upsell,Voice growth path,,,,
About to Sleep,Zero,low,Early Recovery,Gradual Growth,Steady Voice Return,Voice steadily returning,Growth Potential,Nurture,Voice ladder,,,,
About to Sleep,Zero,low,Early Recovery,Rapid Expansion,Fast Voice Wake-Up,Quick recovery from low voice base,Emerging User,Aggressive Win-Back,Voice acceleration,,,,
About to Sleep,Zero,low,Early Recovery,no_trend,Stable Voice Recovery,Recovery stabilizing,Recovery Opportunity,Nurture,Stable voice support,,,,
About to Sleep,Zero,low,Strong Growth,Declining,Strong Voice Growth Risk,Voice growth but unstable overall,Retention Priority,Retention,Momentum stabilizer voice,,,,
About to Sleep,Zero,low,Strong Growth,Dormant,Interrupted Voice Growth,Strong voice trend disrupted,Recovery Risk,Activation,Growth restart voice,,,,
About to Sleep,Zero,low,Strong Growth,Early Recovery,Voice Growth Builder,Strong voice growth with recovery,Emerging User,Upsell,Voice builder plus,,,,
About to Sleep,Zero,low,Strong Growth,Strong Growth,Full Voice Comeback,Strongest voice-led recovery,High Potential Segment,User Growth,Voice transformation,,,,
About to Sleep,Zero,low,Strong Growth,Gradual Growth,Sustainable Voice Momentum,Strong voice recovery stabilizing,Future Loyal Voice User,Loyalty Growth,Voice sustain,,,,
About to Sleep,Zero,low,Strong Growth,Rapid Expansion,Explosive Voice Breakout,Massive voice-led growth from weak state,Top Recovery Opportunity,Maximum Growth,Voice infinity boost,,,,
About to Sleep,Zero,low,Strong Growth,no_trend,Stable Voice Growth,Strong voice growth with stability,Growth Opportunity,Loyalty Growth,Voice lock-in,,,,
About to Sleep,Zero,low,Gradual Growth,Declining,Slow Voice Builder Risk,Gradual recovery but unstable,Retention Risk,Retention,Voice support,,,,
About to Sleep,Zero,low,Gradual Growth,Dormant,Gradual Voice Stall,Slow progress interrupted,Dormant Risk,Activation,Restart voice,,,,
About to Sleep,Zero,low,Gradual Growth,Early Recovery,Healthy Voice Builder,Gradual voice with recovery,Recovery Potential,Nurture,Voice builder nurture,,,,
About to Sleep,Zero,low,Gradual Growth,Strong Growth,Accelerating Voice Builder,Gradual voice becoming strong,Growth Opportunity,Upsell,Voice accelerator,,,,
About to Sleep,Zero,low,Gradual Growth,Gradual Growth,Consistent Voice Builder,Steady voice improvement,Growth Potential,Loyalty Growth,Voice consistency pack,,,,
About to Sleep,Zero,low,Gradual Growth,Rapid Expansion,Voice Breakout Builder,Gradual user suddenly accelerating,Future Opportunity,Aggressive Win-Back,Voice breakout,,,,
About to Sleep,Zero,low,Gradual Growth,no_trend,Stable Voice Builder,Steady low voice customer improving,Nurture Opportunity,Nurture,Builder voice support,,,,
About to Sleep,Zero,low,Rapid Expansion,Declining,Rapid Voice Recovery at Risk,Fast recovery but unstable,Retention Priority,Retention,Voice shield,,,,
About to Sleep,Zero,low,Rapid Expansion,Dormant,Boom Then Silence Voice,Rapid voice growth then inactivity,Drop-Off Risk,Activation,Reignite voice,,,,
About to Sleep,Zero,low,Rapid Expansion,Early Recovery,Rapid Voice Recovery Engine,Fast voice growth with recovery,High Opportunity,Upsell,Voice turbo,,,,
About to Sleep,Zero,low,Rapid Expansion,Strong Growth,Power Voice User Return,Strongest voice reactivation,Elite Recovery Segment,Maximum Growth,Power voice max,,,,
About to Sleep,Zero,low,Rapid Expansion,Gradual Growth,Sustained Voice Comeback,Rapid voice rebound stabilizing,Future Loyal Voice,Loyalty Growth,Voice sustain max,,,,
About to Sleep,Zero,low,Rapid Expansion,Rapid Expansion,Complete Voice Rebirth,Maximum voice transformation,Top Revival Segment,User Maximization,Voice rebirth infinity,,,,
About to Sleep,Zero,low,Rapid Expansion,no_trend,Stable Voice Expansion,Voice expansion stabilized,Retention Opportunity,Loyalty Growth,Voice lock,,,,
About to Sleep,Zero,low,no_trend,Declining,Stable Low Voice Weakening,Stable voice user weakening,Retention Risk,Retention,Reminder voice,,,,
About to Sleep,Zero,low,no_trend,Dormant,Stable Sleeping Voice User,Low voice customer inactive,Dormant Risk,Activation,Wake-up voice,,,,
About to Sleep,Zero,low,no_trend,Early Recovery,Stable Voice Recovery Spark,Stable low voice with recovery,Recovery Potential,Nurture,Starter voice,,,,
About to Sleep,Zero,low,no_trend,Strong Growth,Stable to Strong Voice Growth,Stable user entering strong voice growth,Growth Opportunity,Upsell,Voice booster,,,,
About to Sleep,Zero,low,no_trend,Gradual Growth,Stable Gradual Voice Return,Steady voice improvement,Growth Potential,Nurture,Gradual voice path,,,,
About to Sleep,Zero,low,no_trend,Rapid Expansion,Stable Voice Breakout,Stable user rapidly expanding voice,Emerging Opportunity,Aggressive Win-Back,Voice breakout plus,,,,
About to Sleep,Zero,low,no_trend,no_trend,Consistent Low Voice User,Low voice-only customer stable but weak,Base Retention,Retention,Low voice nurture,,,,
About to Sleep,Zero,medium,Declining,Declining,Medium Voice User in Dual Decline,Moderate voice-only customer declining across engagement,Critical Churn Risk,Retention,Medium voice rescue,,,,
About to Sleep,Zero,medium,Declining,Dormant,Fading Medium Voice User,Declining medium voice customer slipping inactive,Imminent Dormancy,Activation,Voice reactivation medium,,,,
About to Sleep,Zero,medium,Declining,Early Recovery,Early Medium Voice Recovery,Declining customer showing initial comeback,Recovery Opportunity,Nurture,Recovery starter medium,,,,
About to Sleep,Zero,medium,Declining,Strong Growth,Strong Voice Revival,Medium voice user rapidly recovering,Growth Opportunity,Upsell,Voice revival booster,,,,
About to Sleep,Zero,medium,Declining,Gradual Growth,Slow Voice Rebound,Gradual voice comeback from decline,Nurture Potential,Nurture,Gradual voice rebuild,,,,
About to Sleep,Zero,medium,Declining,Rapid Expansion,Rapid Voice Reactivation,Sudden return from weakening state,Emerging Opportunity,Aggressive Win-Back,Voice turbo comeback,,,,
About to Sleep,Zero,medium,Declining,no_trend,Stable Medium Voice Decline,Moderate voice user stable but weakening,Retention Risk,Retention,Voice decline shield,,,,
About to Sleep,Zero,medium,Dormant,Declining,Dormant Voice Collapse,Medium voice customer slipping deeper inactive,Severe Churn Risk,Activation,Dormant voice rescue,,,,
About to Sleep,Zero,medium,Dormant,Dormant,Fully Dormant Medium Voice User,Moderate voice user inactive across services,Maximum Dormancy,Win-Back,Wake medium voice,,,,
About to Sleep,Zero,medium,Dormant,Early Recovery,Dormant Voice Recovery,Inactive user showing return signs,Recovery Potential,Nurture,Voice wake starter,,,,
About to Sleep,Zero,medium,Dormant,Strong Growth,Strong Dormant Voice Comeback,Dormant medium voice customer aggressively returning,High Recovery Opportunity,Upsell,Voice comeback max,,,,
About to Sleep,Zero,medium,Dormant,Gradual Growth,Gradual Dormant Voice Recovery,Slow comeback from dormancy,Recovery Potential,Nurture,Voice nurture medium,,,,
About to Sleep,Zero,medium,Dormant,Rapid Expansion,Explosive Medium Voice Return,Rapid reactivation after dormancy,Future Growth User,Aggressive Win-Back,Voice relaunch turbo,,,,
About to Sleep,Zero,medium,Dormant,no_trend,Stable Dormant Voice Profile,Inactive but medium-value voice profile,Dormant Risk,Activation,Reactivation medium,,,,
About to Sleep,Zero,medium,Early Recovery,Declining,Recovery Under Decline Pressure,Recovery signs facing weakening trend,Fragile Recovery,Retention,Recovery shield medium,,,,
About to Sleep,Zero,medium,Early Recovery,Dormant,Mixed Voice Recovery Pattern,Recovery mixed with inactivity,Mixed Segment,Nurture,Cross-service voice restore,,,,
About to Sleep,Zero,medium,Early Recovery,Early Recovery,Balanced Medium Voice Recovery,Both indicators showing recovery,Recovering User,Nurture,Voice welcome medium,,,,
About to Sleep,Zero,medium,Early Recovery,Strong Growth,Accelerated Voice Recovery,Recovery rapidly strengthening,Growth Opportunity,Upsell,Voice acceleration pack,,,,
About to Sleep,Zero,medium,Early Recovery,Gradual Growth,Steady Voice Return,Steady recovery from decline,Growth Potential,Nurture,Steady voice ladder,,,,
About to Sleep,Zero,medium,Early Recovery,Rapid Expansion,Fast Medium Voice Comeback,Rapid re-engagement from recovery,Emerging User,Aggressive Win-Back,Voice fast-track,,,,
About to Sleep,Zero,medium,Early Recovery,no_trend,Stable Voice Recovery,Recovered and stabilizing,Recovery Opportunity,Nurture,Recovery lock medium,,,,
About to Sleep,Zero,medium,Strong Growth,Declining,Strong Voice Growth at Risk,Strong comeback with warning signs,Retention Priority,Retention,Momentum shield medium,,,,
About to Sleep,Zero,medium,Strong Growth,Dormant,Interrupted Voice Momentum,Strong recovery disrupted by inactivity,Recovery Risk,Activation,Restart medium voice,,,,
About to Sleep,Zero,medium,Strong Growth,Early Recovery,Voice Growth Builder,Strong growth backed by recovery,Emerging User,Upsell,Growth builder medium,,,,
About to Sleep,Zero,medium,Strong Growth,Strong Growth,Full Medium Voice Transformation,Strongest medium voice comeback,High Potential Segment,User Growth,Voice transformation plus,,,,
About to Sleep,Zero,medium,Strong Growth,Gradual Growth,Sustainable Voice Expansion,Strong growth stabilizing,Future Loyal User,Loyalty Growth,Voice sustain medium,,,,
About to Sleep,Zero,medium,Strong Growth,Rapid Expansion,Explosive Medium Voice Growth,Massive voice-led growth from weak state,Top Recovery Opportunity,Maximum Growth,Voice infinity medium,,,,
About to Sleep,Zero,medium,Strong Growth,no_trend,Stable Strong Voice Growth,Strong comeback with stable base,Growth Opportunity,Loyalty Growth,Voice lock medium,,,,
About to Sleep,Zero,medium,Gradual Growth,Declining,Slow Voice Builder Risk,Gradual progress under pressure,Retention Risk,Retention,Builder shield medium,,,,
About to Sleep,Zero,medium,Gradual Growth,Dormant,Gradual Voice Stall,Slow growth interrupted by dormancy,Dormant Risk,Activation,Restart nurture medium,,,,
About to Sleep,Zero,medium,Gradual Growth,Early Recovery,Healthy Voice Builder,Gradual growth supported by recovery,Recovery Potential,Nurture,Voice builder nurture,,,,
About to Sleep,Zero,medium,Gradual Growth,Strong Growth,Accelerating Medium Voice Builder,Gradual user entering strong growth,Growth Opportunity,Upsell,Builder acceleration medium,,,,
About to Sleep,Zero,medium,Gradual Growth,Gradual Growth,Consistent Medium Voice Builder,Balanced steady growth,Growth Potential,Loyalty Growth,Consistency medium,,,,
